comment_id;username;userid;label_sentimen;text
18205865731294506;taufiqrahman100;6259203611;Negative;TEBANG PILIH HANYA UNTUK OPOSISI 👏
18044542370026087;coi_siwon45;57641547949;Negative;@t0p.kom3n Aamiin ya rabbal alamin 🤲
18044484197095236;torasadytia;318015623;Negative;bingung gak tu Kejagung, salah kebijakan tapi tidak memberikan keuntungan pribadi untuk Tom Lembong, kalau kebijakannya salah, lah itu semua pejabat kebijakannya salah, gimana kasus food estate? IKN? hahaha
18049045717972614;yetitaher;313460654;Negative;KASUS INI KATANYA DARI LAPORAN MASYARAKAT?? SAYA MAU MENGADU JUGA SEBAGAI MASYARAKAT AGAR KASUS INI TUNTAS USUT DARI MULAI MENDAG RAHMAT GOBEL SAMPE ZULKIFLI HASAN TERKAIT IMPORT GULA. SEKIAN
18018004376621305;rizalrasyiiid;3746721014;Negative;Maaf pak, saya nggak percaya sama bapak. Nggak boleh jahat pak sama orang yang nggak bersalah. Dunia menyorot penegakan hukum di negara kita. Jangan sampai ada kesan aparat hukum Indonesia mempolitisasi hukum.
18094094986487362;doel_abdulrahman;5461506825;Negative;wkwkwk
17919520676998892;afriliameika;11369561184;Positive;Halo @kejaksaan.ri buktiin dong kalo hukum indonesia tidak tebang pilih. Usut semua mendag setelah Tom Lembong‼️ jangan lupa juga blok medan dan jet pribadi 🙏🏻 hidup di dunia ga bakal lama loh pak/bu..
17957511374831514;andriyan_syah16;5699302005;Positive;yuk kita semua rakyat indonesia rame2 viralkan taq seluruh pejabat2 yang korupsi walaupun itu pejabatnya dalam pemerintahan prabowo!!! yuk ramaikan viralkan semua nya taq para2 pejabat2 dan seluruh instansi2 termasuk instansi2 @official.kpk , @dpr_ri dan semuanya keseluruhan instansi2 yang bertugas mengenai korupsi2 di Negara Indonesia Ini!!!! Lawan Korupsi Lawan Ketidak Adilan di Negara yang super besar Ini!!!! biar semua instansi mulai 2024 dan  selamanya mulai jujur dan adil dalam bekerja!!!!
18469594519061870;andriyan_syah16;5699302005;Negative;ni siapa yg megang akun kejaksaan???? hello sampai kan ke pemimpin pusat anda siapa tu la suruh kerja yang jujur sejujurnya ingat kalian semua manusia di muka bumi ini akan MATI !!! So Kerja yang jujur dan se adil2 nya!!!! periksa seluruh pejabat2 negara Indonesia lainnya PASTI PARA PEJABAT2 LAINNYA ADA YANG KORUPSI BAHKAN NILAINYA JAUH LEBIH TINGGI !!!!!!!!
18145231951352081;andriyan_syah16;5699302005;Positive;@maulanayahyas yuk kita semua rakyat indonesia rame2 viralkan taq seluruh pejabat2 yang korupsi walaupun itu pejabatnya dalam pemerintahan prabowo!!! yuk ramaikan viralkan semua nya taq para2 pejabat2 dan seluruh instansi2 termasuk instansi2 @official.kpk , @dpr_ri dan semuanya keseluruhan instansi2 yang bertugas mengenai korupsi2 di Negara Indonesia Ini!!!! Lawan Korupsi Lawan Ketidak Adilan di Negara yang super besar Ini!!!! biar semua instansi mulai 2024 dan  selamanya mulai jujur dan adil dalam bekerja!!!!
